Licao,X11,X12,X21,X22,X31,X32,X41,X42,X51,X52,X61,X62,X71,X72,X81,X82,X91,X92,Resultado
L1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,A
L2,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,A
L3,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,I
L4,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,I
L5,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,A
L6,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,A
L7,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,A
L8,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,I
L9,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,I
L10,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,I
L11,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,I
L12,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,A
L13,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,A
L14,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,I
L15,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,A
L16,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,A
L18,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,I
L19,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,A
L20,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,A
L21,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,I
L22,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,I
L23,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,A
L25,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,A
L26,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,A
L27,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,I
L28,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,I
L29,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,A
L30,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,I
L31,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,A
L32,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,A
L33,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,A
L34,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,I
L35,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,I
L36,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,I
L37,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,A
L38,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,A
L39,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,A
L40,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,I
L41,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,A
L42,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,A
L43,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,A
L44,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,A
L45,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,I
L46,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,I
L47,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,I
L48,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,I
L49,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,I